x-axis,1,2
second,Volt,Volt
-5.140000E-03,-640.703511E-03,-1.065326622E+00
-5.135000E-03,-585.427129E-03,-1.163316570E+00
-5.130000E-03,-545.226125E-03,-1.145728631E+00
-5.125000E-03,-542.713562E-03,-1.108040189E+00
-5.120000E-03,-505.025120E-03,-1.223618077E+00
-5.115000E-03,-482.412055E-03,-1.206030138E+00
-5.110000E-03,-442.211051E-03,-1.168341696E+00
-5.105000E-03,-422.110548E-03,-1.226130640E+00
-5.100000E-03,-381.909544E-03,-1.266331645E+00
-5.095000E-03,-379.396981E-03,-1.266331645E+00
-5.090000E-03,-321.608037E-03,-1.268844208E+00
-5.085000E-03,-301.507534E-03,-1.286432147E+00
-5.080000E-03,-261.306530E-03,-1.286432147E+00
-5.075000E-03,-221.105525E-03,-1.326633152E+00
-5.070000E-03,-201.005023E-03,-1.326633152E+00
-5.065000E-03,-178.391958E-03,-1.304020087E+00
-5.060000E-03,-140.703516E-03,-1.349246217E+00
-5.055000E-03,-100.502511E-03,-1.384422096E+00
-5.050000E-03,-60.301507E-03,-1.324120589E+00
-5.045000E-03,-42.713567E-03,-1.346733654E+00
-5.040000E-03,+0.0E+00,-1.407035161E+00
-5.035000E-03,+22.613065E-03,-1.386934659E+00
-5.030000E-03,+62.814070E-03,-1.324120589E+00
-5.025000E-03,+97.989949E-03,-1.369346719E+00
-5.020000E-03,+105.527637E-03,-1.407035161E+00
-5.015000E-03,+160.804018E-03,-1.346733654E+00
-5.010000E-03,+201.005023E-03,-1.346733654E+00
-5.005000E-03,+223.618088E-03,-1.384422096E+00
-5.000000E-03,+261.306530E-03,-1.349246217E+00
-4.995000E-03,+304.020097E-03,-1.346733654E+00
-4.990000E-03,+341.708539E-03,-1.326633152E+00
-4.985000E-03,+359.296479E-03,-1.346733654E+00
-4.980000E-03,+402.010046E-03,-1.346733654E+00
-4.975000E-03,+424.623111E-03,-1.286432147E+00
-4.970000E-03,+464.824116E-03,-1.288944710E+00
-4.965000E-03,+499.999995E-03,-1.326633152E+00
-4.960000E-03,+560.301502E-03,-1.286432147E+00
-4.955000E-03,+562.814064E-03,-1.228643203E+00
-4.950000E-03,+600.502506E-03,-1.268844208E+00
-4.945000E-03,+605.527632E-03,-1.283919584E+00
-4.940000E-03,+643.216074E-03,-1.206030138E+00
-4.935000E-03,+680.904515E-03,-1.185929636E+00
-4.930000E-03,+706.030143E-03,-1.226130640E+00
-4.925000E-03,+726.130645E-03,-1.168341696E+00
-4.920000E-03,+766.331650E-03,-1.145728631E+00
