z V1 V2
-10.0 0.191 0.185
-8.0 0.204 0.198
-6.0 0.207 0.201
-4.0 0.209 0.203
-2.0 0.211 0.205
0 0.210 0.204
2.0 0.211 0.205
4.0 0.212 0.206
6.0 0.212 0.206
8.0 0.208 0.202
10.0 0.190 0.184
11.0 0.153 0.147
